"age","value.Polygenic risk score","value.LDL Cholesterol","value.Smoking","value.Age","value.Systolic blood pressure","value.Total cholesterol","value.Body Mass Index","value.Male Sex","value.HDL cholesterol"
32,0.0232440412296508,0.0177476780307662,0.0103452291065298,0.0308559751549498,0.0277577969985424,0.0126097491295846,0.0350576047271149,0.024480710418624,0.0279982412361163
33,0.0207800448555167,0.0206118467805211,0.00914390230411388,0.025330245000135,0.0265893277223209,0.0145538201285775,0.0371233705512406,0.0231531551740913,0.0271659731216282
34,0.022881310304725,0.021303625968124,0.00947676254984742,0.0273440227277426,0.0258021063253298,0.0155100663962211,0.0342683069180757,0.0268206475785152,0.0279113731504121
35,0.0266200129317421,0.0220765933473174,0.00876046448889278,0.0309411183923644,0.0237165352509376,0.0162950552312734,0.033784896318062,0.0201156743795307,0.0284864712921865
36,0.0287384375128723,0.0261316908651793,0.0118280673629209,0.0318633478155563,0.0215569736898635,0.0186955087366228,0.0334771459174303,0.0262247599102458,0.0350580427338837
37,0.0313020890005067,0.0262983576436495,0.0108827856911184,0.0282079659938269,0.0218777953105032,0.0199295001985202,0.0315728865248832,0.0245373777960988,0.0303784104915414
38,0.0304053203156234,0.0302690102938885,0.0097745786631166,0.0329096605372001,0.0228243438186964,0.0241315103324293,0.0313328035036562,0.0283894865563002,0.0313108930517448
39,0.0304242936177973,0.0354215349482294,0.0103790257032687,0.0331386497031529,0.0232165407806233,0.0274024070044797,0.0327716688888272,0.0300129037542588,0.0373265244115173
40,0.0315909932821089,0.0316951802874742,0.0101521741496665,0.0318876809638757,0.0229727814978196,0.0241887370127076,0.0307444346685393,0.0303226123288356,0.0336122524341891
41,0.0316781892804826,0.0302023157548422,0.0104938510069049,0.0363117756685053,0.0219113559121482,0.022600722824822,0.0290346886913845,0.0318224262983517,0.0368683676885873
42,0.032616262631839,0.0365095460223125,0.00977991710464043,0.0375335875960456,0.0242745118322569,0.0274474763220003,0.0323227983027247,0.0320344128469537,0.0404911888419329
43,0.0317074579208568,0.0387655462748379,0.00884853087958959,0.0394536841123566,0.0249102730642627,0.0287692968266706,0.0328885402546707,0.0317812244534527,0.0418854876252326
44,0.0318988347188236,0.0416599635338909,0.00655426871931442,0.0393770153464976,0.0231655997464677,0.0311101484906634,0.0318446233982115,0.0338376533955155,0.0417915139550008
45,0.0333423196694533,0.0435194293199641,0.00763225152302016,0.0441604514983099,0.0228854883683278,0.0327371198047461,0.032035933907561,0.0325241513126637,0.0432342427297591
46,0.0346946334757195,0.0470827116708318,0.00799740194339082,0.0467651772284597,0.0236263458646501,0.037160839496167,0.031066669021012,0.029082203914718,0.038967919149652
47,0.032785586507769,0.048034582613836,0.00835587099977919,0.0494289817178343,0.0251050467289441,0.0399487290290421,0.0304948096933249,0.0276470349807432,0.0346576132507198
48,0.0313780306606072,0.0516698951234934,0.0083898889684606,0.0547476630797369,0.02679177124195,0.0429039725045857,0.0308634373661664,0.0298642758729547,0.034706069435449
49,0.0315524751146018,0.052492240428033,0.00780117985454243,0.0554708470368914,0.0260852425840943,0.0442966085464777,0.030620564423954,0.0304657899859985,0.0358312950775292
50,0.0308802485135794,0.0526045226111226,0.00761236873733839,0.05925226119364,0.0271134301526579,0.0450752662670991,0.0299897065858029,0.0272901205569336,0.0331518638349753
51,0.0314357133591454,0.0507570236731031,0.00752746687255845,0.0608417796062448,0.0282651240046196,0.0438480379284066,0.0296805627369497,0.0286703480224586,0.0306131384367768
52,0.0311165676428492,0.053121109627423,0.00765605522132606,0.0625654241189507,0.0293304527068468,0.0456891692539608,0.0302712594830097,0.0283610313468617,0.0303805280737319
53,0.0313530287224979,0.0535225938864716,0.00729257518031334,0.0617987866046293,0.0266227541786994,0.0442416009474224,0.0298976105212787,0.0297072407660748,0.031022145384638
54,0.0294363538491617,0.0513034182047217,0.0068122682951065,0.063035706337389,0.0253731053977236,0.0431017554112579,0.0289263842511401,0.0298235971310497,0.0304413226109124
55,0.0310465822143317,0.0512359585565026,0.00676020082369222,0.0634947127822775,0.0261031216483758,0.0430178152376425,0.0291161972010523,0.0294266074418629,0.0299970302926444
56,0.0307646666360077,0.0514832546317903,0.00659781299218765,0.0646205881608685,0.0263976096287454,0.0428095966783654,0.0290409351505598,0.0290814477902864,0.0307791818938399
57,0.0306296118941017,0.0515686186673524,0.00625299709752802,0.0646491589564727,0.0269473760998815,0.0434764177316319,0.0288131753052872,0.0297157008983391,0.031044551290388
