"age","value.Polygenic risk score","low.se.Polygenic risk score","upper.se.Polygenic risk score","value.LDL Cholesterol","low.se.LDL Cholesterol","upper.se.LDL Cholesterol","value.Smoking","low.se.Smoking","upper.se.Smoking","value.Age","low.se.Age","upper.se.Age","value.Systolic blood pressure","low.se.Systolic blood pressure","upper.se.Systolic blood pressure","value.Total cholesterol","low.se.Total cholesterol","upper.se.Total cholesterol","value.Body Mass Index","low.se.Body Mass Index","upper.se.Body Mass Index","value.Male Sex","low.se.Male Sex","upper.se.Male Sex","value.HDL cholesterol","low.se.HDL cholesterol","upper.se.HDL cholesterol"
28,1.4384563926163,1.10667184121681,1.86971125169646,1.46035082677591,1.08264474821899,1.96982855250845,2.07216639532332,1.18091826366645,3.6360463734178,1.14785101971805,0.820095655878429,1.6065954672769,1.49743303270655,1.09520560392948,2.04738332181245,1.29268830074953,0.946490128428989,1.76551555341453,1.25552074647989,1.02176518163633,1.54275402330403,1.92486482875079,1.11417042541768,3.32543794417522,0.595596894417269,0.432910327811451,0.819420646379211
29,1.52998559343473,1.16949446714105,2.00159640074253,1.49707591748315,1.12809662391272,1.98674143260395,1.93252148511754,1.14525834658897,3.26095793282287,0.634801937664574,0.458684850068328,0.878541115981199,1.40290554794203,1.02872212686471,1.91319300426146,1.45144291449268,1.07819703606689,1.95389753779689,1.27233745579856,1.03365054523145,1.56614109951972,1.94268635022847,1.15175132822932,3.27677525769919,0.556940591202674,0.406641842385444,0.762791207883547
30,1.27921477539973,0.962531917341471,1.70008953689631,1.67931051238886,1.3031943501593,2.16397791831664,1.50695597912558,0.896114755534587,2.53418025871874,1.24272432308655,0.892809374331006,1.72977993689654,1.56525139801659,1.15728668525195,2.1170311299827,1.66701266120747,1.28984134690235,2.15447521456793,1.42748882878298,1.17354101167213,1.73638955608099,2.38810809311712,1.3857576100397,4.1154818296456,0.512519427394851,0.371089524237294,0.707851195737817
31,1.62365780568804,1.21660422837498,2.16690408309115,1.57123366468267,1.22990533682903,2.00728881736311,1.44062613827676,0.878968335807176,2.36118138246733,1.2413422377418,0.912365064216195,1.68894076684711,1.79046043962193,1.32371957718011,2.4217731920837,1.52688800792652,1.1945679434174,1.95165708371533,1.65353638312837,1.30841851237984,2.08968502391192,2.35668265555482,1.40368065458468,3.95670704789773,0.544141262949247,0.402833611944912,0.735017399899819
32,1.49954294430318,1.12512455841638,1.99856009273713,1.64565822461292,1.28804988438246,2.10255132590192,1.19035516900631,0.734639461118607,1.92876302373208,0.809426181284075,0.600798015725168,1.09050084354444,1.6095792576548,1.2666754721053,2.04531108695629,1.49953024559389,1.16626703220399,1.92802411056886,1.57956204138465,1.29767285591893,1.92268508291823,2.01740719379052,1.22676907602951,3.31760220002466,0.61335989970437,0.459791415760695,0.818219639753254
33,1.58048889160638,1.1582804379285,2.1565978796625,1.44603502718755,1.10893604537071,1.88560675665862,1.47594701753524,0.885611477234246,2.45979151644957,1.07157877210607,0.78092430090243,1.47041277048416,1.45108742345929,1.1120697039606,1.89345569169136,1.35668363822356,1.01950177738363,1.80538232993283,1.3625696483393,1.10029952560811,1.68735512773159,2.35065237125368,1.38271800068669,3.99616304100796,0.711268316673767,0.538476523761973,0.939507287652083
34,1.67854983618344,1.25505556883681,2.24494406663026,1.54106770607076,1.19614463120451,1.98545360881877,1.54603416590928,0.953078272267419,2.50789647787517,1.30057718801369,0.972040497912484,1.7401548861536,1.35505145260114,1.04895368210844,1.75047237119726,1.45559888851441,1.10518638493575,1.91711384896183,1.33952257873958,1.09026278428832,1.64576904284998,1.65891581871683,1.01810982171082,2.70304994108052,0.620250100413745,0.46997551111441,0.818574963940212
35,1.91434656123047,1.44832162850647,2.5303238482146,1.52062008239064,1.2210253521594,1.89372434477334,2.46222733505265,1.53228724063755,3.9565450189078,1.04316113223657,0.776534313627013,1.40133556072548,1.27246044105148,0.961081016913349,1.68472329132154,1.40719584335533,1.10340358432535,1.7946290638228,1.31947485321635,1.06398672933624,1.63631165715426,2.56162753470483,1.55774824515901,4.21244937810096,0.501574797295999,0.381706023950801,0.659086473612867
36,1.97911571265291,1.48195339279666,2.64306490548795,1.61558865395418,1.26558716666065,2.0623839807672,2.28863236309205,1.40604739803745,3.72522156842168,0.8259694729148,0.614369108770528,1.11044901256904,1.34391715014983,1.01191415382464,1.78484834868692,1.52390248979613,1.17361997952339,1.97873147946061,1.37865359513495,1.1096974040822,1.71279641493848,1.91973781520088,1.16695836500252,3.15811890949879,0.547292186407314,0.405286625764378,0.739054087308164
37,1.73981048768026,1.30907751078605,2.31226990617589,1.70563410683767,1.35241654528892,2.15110330951062,2.1124620589399,1.31609804582557,3.3907017525137,1.12420462401004,0.841808809066975,1.5013338219237,1.38029905423178,1.08627638506774,1.75390490422412,1.69223240925784,1.31665357112095,2.1749460828216,1.3710333956253,1.11176997423991,1.69075673518253,3.90626591245375,2.20438925843655,6.92205939599816,0.543417999868165,0.408811802752091,0.722344904410192
